id,session_id,raw_text,predicted_intent,text_hash,cleaned_text
1,sim_v2_0,giá tour nt nhiêu tiền,unlabeled,241b1f3b5c3f955b7dcb6f304a9e10fa,giá tour Nha_Trang_nhiêu tiền
2,sim_v2_1,thuê xe đạp dạo đlạt,unlabeled,03d6f1fc23707e989b63457c1b68bc0e,thuê xe_đạp dạo Đà_Lạt
3,sim_v2_2,tìm chỗ ở giá rẻ tại pq,unlabeled,aec321a348402e4eddd6bc0723a21650,tìm chỗ ở giá rẻ tại Phú_Quốc
4,sim_v2_3,thời tiết hôm nay,unlabeled,5a272ebf19befa2f73a7f93971435d0c,thời_tiết hôm_nay
5,sim_v2_4,chơi dù lượn ở nha trang,unlabeled,751fd66f7c0472f498487ab2de3dd238,chơi dù lượn ở Nha_Trang
6,sim_v2_5,di chuyển bằng phương tiện gì,unlabeled,ac2cb6706fb75d6a772c7ba45bb45457,đi chuyển bằng phương_tiện gì
7,sim_v2_6,xin bảng giá ik đlạt nha,unlabeled,b28369808fccbb235e61959543f008cf,xin bảng giá đi Đà_Lạt nha
8,sim_v2_7,sài gòn có chỗ nào check in đẹp,unlabeled,82e5c22c30c2d29b9c1494c3ade6e865,sài gòn có chỗ nào check in đẹp
9,sim_v2_8,mùa nào đi nha trang hợp lý,unlabeled,197dc6a5f765a1be632e032638c45757,mùa nào đi Nha_Trang hợp_lý
10,sim_v2_9,đặc sản sapa là gì,unlabeled,55b44c9452b0394145fa37f09ad1db9b,đặc_sản Sa_Pa là gì
11,sim_v2_10,tư vấn tour pq,unlabeled,e574f6e270c43b6f7e680c809bf88018,tư_vấn tour Phú_Quốc
12,sim_v2_11,thời tiết nha trang sao,unlabeled,9c3ab676b23e13563c344f1099a983f6,thời_tiết Nha_Trang sao
13,sim_v2_12,review pq mùa này z,unlabeled,d156bb00971358923e3af7cb71005070,review Phú_Quốc mùa này vậy
14,sim_v2_13,xin bảng giá đi phú quốc,unlabeled,50ce3652c91e0c6755d287d521144b1f,xin bảng giá đi phú_quốc
15,sim_v2_14,ở hà nội có tour lặn không,unlabeled,c5b490c2afa5aecb44fe26b10a40971b,ở hà_nội có tour lặn không
16,sim_v2_15,ik nt chơi,unlabeled,7cb18d0db02016674cd9b9850e77f4c8,đi Nha_Trang chơi
17,sim_v2_16,cách nấu bún bò,unlabeled,2819f84206aaacb276161b8831526d9f,cách nấu bún bò
18,sim_v2_17,review đà lạt mùa này,unlabeled,f9bb1b99468caa2fa48f1fb93c490d35,review Đà_Lạt mùa này
19,sim_v2_18,có tour đà nẵng ko bot z,unlabeled,8a11d40cef4847b29e32139b25c3df37,có tour đà_nẵng không bot vậy
20,sim_v2_19,xin kinh nghiệm đi đlạt,unlabeled,bd2943deedd088d5374f6e638269a42b,xin kinh_nghiệm đi Đà_Lạt
21,sim_v2_20,xin kinh nghiệm ik đà lạt bot,unlabeled,4f4962723b08464a5fa50ae404c22a54,xin kinh_nghiệm đi Đà_Lạt bot
22,sim_v2_21,book phòng sài gòn,unlabeled,ad60e7fad9671d835134c30475ddf7ca,book phòng sài gòn
23,sim_v2_22,tour đà lạt bao gồm ăn uống chưa,unlabeled,76fb17a17450cb3c9f9262dfce3b215a,tour Đà_Lạt bao_gồm ăn_uống chưa
25,sim_v2_24,review nha trang mùa này,unlabeled,2cedfc9974537af54336e186bc34736e,review Nha_Trang mùa này
27,sim_v2_26,có cắm trại ở đà nẵng k,unlabeled,5c48b3f3b625d714b87520a3582d09a1,có cắm trại ở đà_nẵng không
30,sim_v2_29,có khuyến mãi tour hà nội ko nha,unlabeled,7e90737a9252c34f1e434a3cc2f77f8d,có khuyến_mãi tour hà_nội không nha
31,sim_v2_30,có hướng dẫn viên ko z,unlabeled,f3c3f0f142c0342f27edbc1c8c5a7e25,có hướng_dẫn_viên không vậy
32,sim_v2_31,chơi dù lượn ở hà nội dợ,unlabeled,54d43d212653d0fcb2033d036bbbcfbf,chơi dù lượn ở hà_nội dợ
34,sim_v2_33,tour sapa rẻ nhất là bao nhiêu,unlabeled,cc7450e8eeb4a07d0b82e1622aa28c29,tour Sa_Pa rẻ nhất là bao_nhiêu
35,sim_v2_34,có cắm trại ở nt k,unlabeled,cefa8689712f1c22f1e6feb27692a2af,có cắm trại ở Nha_Trang không
36,sim_v2_35,muốn đi trekking pq,unlabeled,b5ebb94776d0f0aa90b5ecda378e42b6,muốn đi trekking Phú_Quốc
37,sim_v2_36,thuê resort hà nội,unlabeled,461c029d99fbfda1785e9fd46181d05f,thuê resort hà_nội
38,sim_v2_37,có hướng dẫn viên không,unlabeled,b0e11bb77cc1918edcb0e02407c538ee,có hướng_dẫn_viên không
39,sim_v2_38,tìm tour đi hà nội,unlabeled,d7df7a8baf73ab0742b1684bf807e50d,tìm tour đi hà_nội
40,sim_v2_39,chi phí đi sapa mấy củ,unlabeled,d00fd666ddb95ac58b60745bd3301d39,chi_phí đi Sa_Pa mấy triệu
41,sim_v2_40,có khuyến mãi tour sài gòn ko dợ,unlabeled,bd6ed9fc4c3172b4852c215ff8ecd275,có khuyến_mãi tour sài_gòn không dợ
42,sim_v2_41,xin lịch trình đi sài gòn,unlabeled,f4efedafa7ce2e8261007f4fafab24c3,xin lịch_trình đi sài gòn
43,sim_v2_42,muốn đi trekking phú quốc,unlabeled,3889683d2ccc60f1075db13faffe5509,muốn đi trekking_phú_quốc
44,sim_v2_43,tư vấn tour sapa,unlabeled,ded6d69fa2f3b33ace34727e2a65555f,tư_vấn tour_Sa_Pa
45,sim_v2_44,muốn đi trekking hà nội,unlabeled,a5cb19852452a69254a4b711fd8f075a,muốn đi trekking hà_nội
46,sim_v2_45,ik nt chơi bot,unlabeled,87c75287321477652145b892b9689d9c,đi Nha_Trang chơi bot
